age,max
87,0
74,99999
29,99999
54,99999
71,99999
68,25124
34,99999
51,99999
80,10605
70,20051
52,99999
83,20051
67,20051
63,99999
90,20051
35,27828
45,99999
86,0
84,0
39,99999
69,99999
36,99999
31,99999
50,99999
60,99999
66,99999
22,99999
59,99999
65,99999
62,99999
75,25124
73,25124
44,99999
42,99999
88,0
82,0
41,99999
46,99999
40,99999
43,99999
32,99999
53,99999
38,99999
79,20051
26,99999
48,99999
85,0
72,99999
78,99999
57,99999
24,99999
81,2936
61,99999
19,34095
77,20051
25,27828
30,99999
21,99999
49,99999
47,99999
17,34095
20,34095
37,99999
28,99999
33,99999
76,20051
18,34095
64,99999
55,99999
27,41310
23,14344
56,99999
58,99999
