age,sum
87,0
74,163747
29,392330
54,571113
71,205355
68,175655
34,533842
51,997256
80,12014
70,88421
52,1225718
83,20051
67,353940
63,309872
90,83216
35,523801
45,872138
86,0
84,0
39,1093417
69,358337
36,1077316
31,484162
50,1466869
60,422722
66,253191
22,269763
59,494366
65,627220
62,293831
75,42572
73,61738
44,1016144
42,1180296
88,0
82,0
41,1065194
46,1367078
40,959064
43,1128997
32,970837
53,854898
38,1391363
79,62956
26,268180
48,756505
85,0
72,137764
78,119789
57,666660
24,224022
81,4998
61,309138
19,65570
77,33656
25,234889
30,763243
21,147330
49,1119539
47,1717564
17,43328
20,62338
37,1039919
28,478413
33,718669
76,22648
18,56132
64,317988
55,913076
27,213393
23,90418
56,543129
58,550226
