age,max
87,0
74,3683
29,2754
54,3900
71,2489
68,3683
34,3770
51,2824
80,1816
70,2377
52,2824
83,2392
67,2457
63,2559
90,4356
35,2377
45,3004
86,0
84,0
39,2444
69,2282
36,2415
31,2415
50,2444
60,2559
66,4356
22,2824
59,2559
65,2377
62,2415
75,2174
73,2457
44,2547
42,2444
88,0
82,4356
41,3900
46,2824
40,2444
43,2547
32,2824
53,2559
38,3770
79,0
26,2377
48,2472
85,0
72,2392
78,2392
57,2824
24,2205
81,2377
61,2754
19,2129
77,1944
25,2339
30,2258
21,2603
49,2603
47,2415
17,1721
20,2258
37,2824
28,2339
33,2603
76,1258
18,1721
64,2179
55,2415
27,2377
23,2559
56,2339
58,2415
