age,sum
87,0
74,9305
29,51489
54,46143
71,11541
68,26150
34,105042
51,68244
80,1816
70,11420
52,45086
83,2392
67,13249
63,17635
90,6562
35,63749
45,83992
86,0
84,0
39,115740
69,5359
36,76335
31,81734
50,74501
60,31149
66,20113
22,14851
59,43144
65,21200
62,14586
75,3909
73,8612
44,80118
42,98325
88,0
82,4356
41,112072
46,114701
40,68385
43,83648
32,74891
53,58444
38,75460
79,0
26,43356
48,44524
85,0
72,8288
78,2392
57,46886
24,24890
81,4045
61,37583
19,31268
77,1944
25,41353
30,72774
21,37178
49,58796
47,68870
17,16492
20,25074
37,71109
28,57022
33,61141
76,1258
18,24385
64,8025
55,51967
27,53041
23,35061
56,39611
58,28919
