age,count
87,1
74,51
29,813
54,415
71,72
68,120
34,886
51,595
80,22
70,89
52,478
83,6
67,151
63,230
90,43
35,876
45,734
86,1
84,10
39,816
69,108
36,898
31,888
50,602
60,312
66,150
22,765
59,355
65,178
62,258
75,45
73,64
44,724
42,780
88,3
82,12
41,808
46,737
40,794
43,770
32,828
53,464
38,827
79,22
26,785
48,543
85,3
72,67
78,23
57,358
24,798
81,20
61,300
19,712
77,29
25,841
30,861
21,720
49,577
47,708
17,395
20,753
37,858
28,867
33,875
76,46
18,550
64,208
55,419
27,835
23,877
56,366
58,366
