age,max
87,2
74,56
29,99
54,98
71,75
68,90
34,99
51,99
80,60
70,80
52,98
83,55
67,99
63,98
90,99
35,99
45,99
86,40
84,66
39,99
69,72
36,99
31,99
50,99
60,84
66,99
22,98
59,99
65,99
62,99
75,70
73,99
44,99
42,99
88,40
82,50
41,91
46,96
40,99
43,99
32,99
53,99
38,99
79,45
26,99
48,98
85,50
72,99
78,60
57,84
24,99
81,60
61,99
19,99
77,50
25,99
30,99
21,98
49,99
47,90
17,48
20,84
37,99
28,99
33,99
76,50
18,72
64,99
55,99
27,99
23,80
56,99
58,99
