age,sum
87,2
74,1153
29,34443
54,17671
71,2080
68,3812
34,38043
51,25754
80,520
70,2643
52,20549
83,208
67,4675
63,8510
90,1583
35,38464
45,31778
86,40
84,242
39,35654
69,3134
36,38845
31,38075
50,26460
60,12649
66,4947
22,26906
59,14899
65,6242
62,10053
75,1177
73,1829
44,31950
42,33706
88,120
82,209
41,34829
46,31629
40,33696
43,33303
32,35503
53,20093
38,36432
79,590
26,32236
48,23464
85,88
72,1847
78,576
57,15201
24,31193
81,434
61,11640
19,21843
77,658
25,33646
30,36306
21,24505
49,25246
47,30577
17,8440
20,24307
37,37500
28,36438
33,37595
76,1050
18,14252
64,7175
55,17715
27,35103
23,32202
56,15394
58,14953
