education,avg
 Prof-school,10414.416666666667
 Doctorate,4770.1452784503631961
 Bachelors,1756.2995331465919701
 Preschool,898.3921568627450980
 12th,284.0877598152424942
 Masters,2562.5635519442832269
 11th,215.0978723404255319
 9th,342.0894941634241245
 7th-8th,233.9396284829721362
 Some-college,598.8241667809628309
 10th,404.5744908896034298
 Assoc-voc,715.0513748191027496
 Assoc-acdm,640.3992502343017807
 5th-6th,176.0210210210210210
 HS-grad,576.8001142748309685
 1st-4th,125.8750000000000000
