education,avg
 Prof-school,231.2031250000000000
 Doctorate,262.8450363196125908
 Bachelors,118.3503267973856209
 Preschool,66.4901960784313725
 12th,32.3371824480369515
 Masters,166.7196749854904237
 11th,50.0791489361702128
 9th,28.9980544747081712
 7th-8th,65.6687306501547988
 Some-college,71.6370868193663421
 10th,56.8456591639871383
 Assoc-voc,72.7547033285094067
 Assoc-acdm,93.4189315838800375
 5th-6th,68.2522522522522523
 HS-grad,70.4666222264546234
 1st-4th,48.3273809523809524
