education,avg
 Prof-school,47.4253472222222222
 Doctorate,46.9733656174334140
 Bachelors,42.6140056022408964
 Preschool,36.6470588235294118
 12th,35.7806004618937644
 Masters,43.8363319791062101
 11th,33.9259574468085106
 9th,38.0447470817120623
 7th-8th,39.3668730650154799
 Some-college,38.8522836373611302
 10th,37.0525187566988210
 Assoc-voc,41.6107091172214182
 Assoc-acdm,40.5042174320524836
 5th-6th,38.8978978978978979
 HS-grad,40.5753737739262927
 1st-4th,38.2559523809523810
