fnlwgt,count
371316,1
142282,1
92865,1
99339,1
192963,1
248374,1
570821,1
106753,1
102270,1
138966,1
273399,1
290614,1
316627,1
83471,1
166036,1
346963,1
131826,3
370990,2
143436,1
170730,2
294121,1
28031,1
33355,2
192236,2
160472,1
264300,1
96346,1
448626,1
152617,1
127858,1
82622,6
81206,1
183678,2
328697,1
180142,1
184872,1
128346,1
148207,2
74593,1
228729,1
118798,1
131180,1
249362,2
131091,1
30030,1
218551,1
185847,1
226198,1
347910,1
99888,1
61838,1
146412,1
163747,1
351187,1
164441,2
358124,2
231569,1
33138,1
258298,3
206066,3
120970,1
181820,5
46402,1
262241,2
509350,1
238438,1
283945,2
145284,2
192939,5
129227,1
198654,1
41806,1
189282,1
89821,1
192835,5
188616,1
165798,1
192349,1
211497,2
144371,2
180551,4
142922,2
128054,1
124244,1
28291,2
99970,1
182661,1
37939,1
270056,1
54566,1
158993,2
91928,1
276515,2
389857,2
335005,2
189092,2
111058,2
120939,3
108907,3
28729,1
106728,1
214385,3
142038,1
139193,2
185254,1
197711,1
183802,2
258633,2
230922,1
377374,1
341204,4
106316,1
198668,2
209149,1
20109,1
337039,1
114345,1
296538,1
160279,1
442274,2
182792,1
361307,1
138962,1
209538,5
67759,1
245777,1
145791,1
172755,1
94988,1
188709,1
130703,1
172709,1
50122,2
267040,1
198751,1
233851,2
218124,1
74966,1
73161,1
108431,1
394447,2
96798,3
122672,1
153890,1
213813,1
114011,1
32423,1
125499,1
238969,1
231604,1
223464,1
103407,1
69621,1
111797,1
331615,1
292465,2
107843,1
198873,1
193042,3
33795,1
102945,3
109275,1
91547,1
171114,4
122390,2
95168,1
375049,1
331556,1
74275,2
118447,1
199307,1
112139,2
124973,1
119199,4
166971,1
548664,1
207637,1
225339,1
193622,1
184277,2
101266,2
103634,1
49436,1
536725,1
195066,1
114251,1
320984,4
224640,4
275726,1
73679,1
183043,1
321435,2
141218,1
162613,1
300623,1
310632,1
102628,3
176917,2
163083,2
201631,1
125178,1
113915,1
199925,1
303637,1
124919,2
171393,1
115426,1
108495,2
313930,1
91137,1
208451,2
94600,1
48393,1
334132,1
263224,1
175515,1
401623,1
117222,3
474136,1
111275,3
172855,2
318082,1
205829,1
226949,1
