fnlwgt,max
371316,0
142282,0
92865,0
99339,0
192963,0
248374,0
570821,0
106753,0
102270,0
138966,0
273399,0
290614,0
316627,0
83471,0
166036,0
346963,0
131826,0
370990,0
143436,0
170730,0
294121,0
28031,0
33355,7298
192236,0
160472,0
264300,0
96346,0
448626,0
152617,0
127858,3273
82622,0
81206,0
183678,0
328697,0
180142,0
184872,0
128346,0
148207,0
74593,0
228729,0
118798,99999
131180,0
249362,3411
131091,0
30030,0
218551,0
185847,0
226198,0
347910,0
99888,0
61838,0
146412,0
163747,0
351187,0
164441,0
358124,0
231569,0
33138,0
258298,0
206066,0
120970,0
181820,0
46402,0
262241,0
509350,0
238438,0
283945,0
145284,0
192939,0
129227,0
198654,0
41806,0
189282,0
89821,0
192835,3942
188616,0
165798,0
192349,4650
211497,0
144371,0
180551,0
142922,0
128054,0
124244,0
28291,0
99970,0
182661,0
37939,0
270056,0
54566,0
158993,0
91928,0
276515,0
389857,0
335005,3137
189092,0
111058,0
120939,0
108907,0
28729,0
106728,5178
214385,0
142038,0
139193,0
185254,0
197711,0
183802,0
258633,0
230922,0
377374,0
341204,8614
106316,0
198668,0
209149,0
20109,0
337039,14344
114345,914
296538,0
160279,0
442274,0
182792,0
361307,0
138962,0
209538,0
67759,0
245777,0
145791,0
172755,0
94988,0
188709,99999
130703,0
172709,0
50122,0
267040,0
198751,0
233851,0
218124,0
74966,0
73161,0
108431,0
394447,2463
96798,0
122672,0
153890,2009
213813,0
114011,0
32423,22040
125499,7688
238969,0
231604,0
223464,0
103407,0
69621,0
111797,0
331615,0
292465,0
107843,5178
198873,15024
193042,15024
33795,0
102945,0
109275,0
91547,0
171114,0
122390,15024
95168,0
375049,0
331556,0
74275,7298
118447,0
199307,0
112139,0
124973,15024
119199,0
166971,0
548664,0
207637,0
225339,0
193622,0
184277,0
101266,0
103634,0
49436,0
536725,0
195066,0
114251,0
320984,99999
224640,0
275726,0
73679,0
183043,0
321435,0
141218,0
162613,0
300623,0
310632,0
102628,15024
176917,0
163083,14084
201631,0
125178,0
113915,0
199925,0
303637,0
124919,0
171393,7298
115426,0
108495,0
313930,0
91137,0
208451,0
94600,5178
48393,0
334132,0
263224,0
175515,0
401623,0
117222,0
474136,0
111275,0
172855,0
318082,0
205829,0
226949,0
179681,0
135439,0
240255,0
237811,0
206307,0
84756,0
123833,0
232022,0
375077,0
84755,0
270324,0
161063,0
110510,0
114204,0
182971,0
44172,0
169905,27828
182668,0
66755,0
41979,0
291808,0
204415,0
212622,0
452402,0
144583,0
86972,0
246396,0
117299,7688
173796,0
109735,0
65278,0
120914,2961
54684,0
201141,0
172695,0
96460,7688
224894,0
103344,15024
174325,7688
230823,0
269604,0
143098,4064
159297,0
530099,0
65389,0
74791,0
27821,2829
168730,0
309513,0
178136,0
211424,0
171635,0
394484,0
188041,0
143360,0
104457,0
341995,0
190340,0
228649,0
322547,0
48123,0
209449,0
102085,0
161482,0
209370,0
194024,0
27153,0
146244,0
165922,15024
265567,0
237065,2346
359001,15024
211584,0
205895,0
185397,0
209949,0
344492,0
93202,0
117898,0
159773,0
70088,0
301210,0
1033222,8614
160981,0
174090,0
268147,0
376929,0
229180,0
248445,0
174463,0
290521,0
120572,0
188569,0
139049,0
179594,0
339482,0
282394,0
194501,0
204172,0
228230,0
193575,0
115705,0
247750,0
245724,0
110188,0
201490,0
370045,0
251396,0
145419,7688
256909,3325
101432,0
163890,0
451059,0
83434,0
133963,0
55849,0
97176,0
238944,0
184710,0
182494,0
196857,0
223131,0
456399,0
100479,0
229062,0
98281,0
230885,0
64167,0
70767,0
82649,5013
229533,0
170861,0
209970,0
334593,0
182809,7298
53304,0
176900,0
326587,0
206947,0
180195,0
105138,0
106566,0
195690,0
47353,0
322144,0
32016,0
111445,0
363219,0
266645,0
440706,0
119793,10520
187636,0
505980,0
211553,0
356555,0
191277,15024
163557,0
205884,0
301614,0
211435,0
203488,15024
191364,0
177629,0
110890,0
206659,0
107108,0
302122,0
68273,0
33309,0
167687,1409
194189,0
359766,0
176410,7298
229516,0
166857,0
177457,0
323309,0
38238,0
101771,0
159048,0
114055,0
66194,0
185407,7688
190143,0
147889,0
163725,7688
300812,0
159549,0
194591,0
200017,0
52144,0
218903,0
85109,0
54608,0
304353,0
181291,0
297884,4064
165097,0
252231,0
349116,0
191001,0
56424,0
247162,0
514033,0
170174,7298
412248,0
171231,0
356015,0
198270,0
219835,0
266529,0
163090,0
139703,3103
194561,0
190469,0
252565,0
165637,0
198692,5178
210364,15024
255711,0
131982,0
281784,0
269722,0
