fnlwgt,sum
371316,25
142282,25
92865,40
99339,40
192963,35
248374,40
570821,40
106753,40
102270,40
138966,38
273399,40
290614,40
316627,40
83471,20
166036,60
346963,40
131826,120
370990,80
143436,24
170730,100
294121,50
28031,16
33355,93
192236,85
160472,50
264300,20
96346,57
448626,40
152617,40
127858,40
82622,295
81206,40
183678,66
328697,45
180142,45
184872,55
128346,40
148207,105
74593,70
228729,40
118798,40
131180,16
249362,90
131091,40
30030,40
218551,45
185847,54
226198,40
347910,35
99888,40
61838,40
146412,40
163747,55
351187,40
164441,78
358124,92
231569,50
33138,40
258298,105
206066,155
120970,40
181820,198
46402,8
262241,80
509350,50
238438,42
283945,70
145284,110
192939,230
129227,40
198654,67
41806,40
189282,27
89821,10
192835,233
188616,15
165798,40
192349,40
211497,80
144371,57
180551,170
142922,90
128054,40
124244,40
28291,122
99970,40
182661,20
37939,35
270056,40
54566,35
158993,76
91928,35
276515,80
389857,66
335005,75
189092,85
111058,80
120939,90
108907,120
28729,40
106728,60
214385,100
142038,45
139193,88
185254,40
197711,40
183802,95
258633,55
230922,40
377374,40
341204,150
106316,12
198668,80
209149,35
20109,84
337039,40
114345,40
296538,45
160279,40
442274,80
182792,40
361307,40
138962,72
209538,240
67759,43
245777,40
145791,40
172755,40
94988,50
188709,50
130703,40
172709,40
50122,110
267040,40
198751,40
233851,80
218124,20
74966,24
73161,40
108431,40
394447,83
96798,155
122672,50
153890,44
213813,40
114011,20
32423,40
125499,60
238969,10
231604,45
223464,40
103407,40
69621,60
111797,35
331615,40
292465,90
107843,50
198873,30
193042,164
33795,45
102945,132
109275,40
91547,40
171114,161
122390,88
95168,40
375049,41
331556,40
74275,85
118447,60
199307,48
112139,80
124973,50
119199,167
166971,52
548664,15
207637,10
225339,40
193622,40
184277,80
101266,102
103634,38
49436,40
536725,15
195066,50
114251,40
320984,235
224640,160
275726,40
73679,40
183043,48
321435,90
141218,30
162613,60
300623,40
310632,40
102628,135
176917,95
163083,85
201631,40
125178,40
113915,10
199925,40
303637,49
124919,110
171393,55
115426,40
108495,80
313930,40
91137,40
208451,80
94600,40
48393,84
334132,78
263224,30
175515,40
401623,40
117222,105
474136,40
111275,134
172855,80
318082,35
205829,35
226949,37
179681,37
135439,48
240255,40
237811,35
206307,40
84756,35
123833,100
232022,40
375077,50
84755,40
270324,30
161063,40
110510,50
114204,13
182971,40
44172,38
169905,80
182668,80
66755,40
41979,40
291808,40
204415,48
212622,40
452402,60
144583,40
86972,40
246396,40
117299,80
173796,40
109735,38
65278,160
120914,120
54684,55
201141,37
172695,67
96460,60
224894,10
103344,90
174325,80
230823,40
269604,40
143098,80
159297,55
530099,55
65389,30
74791,60
27821,100
168730,50
309513,130
178136,40
211424,120
171635,40
394484,40
188041,90
143360,34
104457,40
341995,97
190340,40
228649,98
322547,45
48123,90
209449,40
102085,95
161482,38
209370,30
194024,50
27153,90
146244,40
165922,90
265567,35
237065,78
359001,140
211584,40
205895,20
185397,40
209949,12
344492,56
93202,16
117898,50
159773,45
70088,40
301210,20
1033222,80
160981,52
174090,20
268147,100
376929,40
229180,80
248445,140
174463,50
290521,40
120572,52
188569,85
139049,22
179594,88
339482,180
282394,21
194501,47
204172,88
228230,47
193575,40
115705,100
247750,125
245724,50
110188,40
201490,60
370045,40
251396,110
145419,167
256909,45
101432,90
163890,40
451059,40
83434,21
133963,295
55849,85
97176,136
238944,40
184710,90
182494,40
196857,60
223131,60
456399,40
100479,48
229062,40
98281,43
230885,45
64167,40
70767,40
82649,45
229533,40
170861,72
209970,40
334593,40
182809,40
53304,50
176900,99
326587,40
206947,157
180195,90
105138,225
106566,50
195690,45
47353,40
322144,40
32016,102
111445,38
363219,26
266645,60
440706,40
119793,455
187636,40
505980,80
211553,35
356555,48
191277,300
163557,30
205884,40
301614,188
211435,40
203488,579
191364,40
177629,20
110890,70
206659,40
107108,40
302122,40
68273,40
33309,80
167687,50
194189,40
359766,40
176410,54
229516,72
166857,40
177457,40
323309,40
38238,40
101771,25
159048,40
114055,40
66194,60
185407,316
190143,40
147889,40
163725,40
300812,55
159549,130
194591,40
200017,20
52144,35
218903,40
85109,85
54608,128
304353,36
181291,50
297884,130
165097,40
252231,40
349116,69
191001,40
56424,20
247162,40
514033,80
170174,146
412248,25
171231,40
356015,75
198270,83
219835,140
266529,125
163090,20
139703,188
194561,49
190469,40
252565,55
165637,40
198692,105
210364,80
255711,60
131982,105
281784,52
269722,165
126511,45
193416,80
338620,112
157117,40
253420,25
369549,30
178470,40
314153,135
201901,25
305352,40
159796,12
112351,38
43272,20
213477,38
212207,11
253770,80
192010,60
259865,30
172714,40
137613,37
146181,40
265628,40
219233,30
206232,50
125591,80
112959,40
135617,40
56648,47
211763,24
443040,40
22042,39
248754,80
279721,40
375574,60
68505,37
499935,40
212143,20
36885,50
664821,40
456460,40
252668,70
84324,50
83922,40
192251,180
193260,135
85154,24
148626,40
158680,50
80057,40
76460,40
118149,40
199268,20
188729,45
187730,40
183557,65
208875,40
166880,70
109445,25
158662,50
107231,325
369468,40
121788,30
213431,40
105381,40
98656,80
263568,100
203525,40
229465,155
99219,15
187069,45
320305,72
32172,50
231472,40
177711,40
698418,25
423217,50
275361,35
212954,150
316606,40
168807,45
138179,120
267325,40
236570,16
80410,80
102388,45
95855,140
156608,25
388112,77
52037,40
156616,40
174043,90
113546,56
243858,15
184005,45
314894,45
182211,144
428299,40
89478,20
172907,35
267161,75
254230,40
109611,37
231193,30
315423,90
190963,30
40956,25
236523,40
119859,40
393728,24
186886,55
194791,85
52386,110
254439,40
333990,40
183111,40
318886,92
195727,40
214061,40
296485,40
401998,20
270728,48
192230,40
165209,40
125846,60
237379,80
262116,48
21306,40
132728,65
233624,83
176520,93
264055,40
257758,40
53373,71
280433,50
198830,10
163212,40
367533,123
33432,40
135388,80
271579,40
375680,80
120068,57
105788,50
169583,235
182590,38
123343,30
144478,40
257588,40
191497,20
224141,40
56331,72
364657,100
791084,50
62258,40
25319,15
89534,128
197303,40
110457,185
105119,40
168873,30
281565,50
212064,115
160631,60
227778,96
176814,180
245361,25
33863,145
112967,40
300681,115
296450,40
231230,25
21095,40
37314,90
148069,40
249277,75
227910,40
262882,40
109705,72
328447,35
227545,44
187119,135
195394,40
371064,60
225024,40
31510,50
153475,56
157893,40
310045,30
306982,100
137953,45
190325,30
159123,60
165152,48
240917,35
173476,40
87164,20
349151,40
130021,125
200576,143
200677,40
252392,40
239523,45
191269,65
290267,18
60688,35
659273,40
197332,241
149652,30
174864,100
211596,80
169711,40
275691,67
175495,24
216473,110
159662,66
220109,44
174626,65
121772,80
247294,75
247779,38
280164,32
490332,45
179915,99
164922,120
200997,45
376383,35
206088,40
147253,105
259585,24
53498,40
319016,45
356717,25
160731,125
114117,32
289980,65
172756,34
306440,106
237903,80
137444,40
598995,42
172076,25
284799,60
175224,60
100999,80
188982,20
171914,50
138940,197
51331,16
54229,37
307404,40
25386,40
106648,37
22418,90
161930,30
236731,65
114967,200
406978,40
151158,25
105821,40
175273,40
31432,52
286435,40
83089,40
331643,40
26553,25
180052,120
367695,40
111306,10
190709,117
54098,50
127601,75
164332,31
156229,40
259301,81
167544,13
191983,50
168894,100
343579,52
442359,40
61270,80
285854,40
344425,10
330301,40
123838,50
34506,100
178931,40
25322,40
94064,40
56460,12
308489,50
208463,20
228500,40
297735,130
227154,40
300104,168
434894,40
54851,40
131808,40
181282,50
177057,40
195813,40
241583,40
197923,40
416164,49
236436,80
224716,40
117542,15
353927,40
192150,40
106748,99
173854,95
31137,110
49115,60
87310,91
283757,79
184659,172
253310,7
38079,55
372181,40
119006,38
156649,40
76878,40
27187,72
578701,40
58798,44
257621,65
237624,10
46366,40
345285,20
144429,10
147845,31
288825,164
276133,50
57452,40
111679,30
187115,20
142856,40
213255,8
410446,20
92717,40
271753,40
143069,40
511289,147
99233,80
209544,50
205493,60
143266,155
167410,40
157025,40
398626,45
109815,40
314525,125
30069,40
104996,132
357338,40
219897,85
41762,40
22978,50
144259,170
41721,115
330144,88
194995,145
415051,60
174163,80
222654,186
137205,48
175024,18
192258,80
211948,40
181828,48
101618,50
159876,72
228493,48
185575,40
121040,40
67234,105
140206,40
223237,40
189623,145
197514,16
187052,70
233799,40
250206,40
209392,35
28375,70
242482,72
198613,100
220543,40
94937,68
258932,120
98475,45
34832,100
312017,160
69911,15
176178,93
176965,50
324386,40
38310,40
55363,135
315110,20
163582,16
243368,136
158776,40
182332,40
349703,40
138157,12
235167,32
89202,90
85625,42
45781,90
226789,133
103024,42
259087,40
118081,42
266324,169
163836,12
47314,40
150568,45
49352,38
137537,40
50341,98
218948,72
435022,50
74539,20
161240,85
196678,70
495982,10
363053,24
410186,40
182186,40
278924,174
595000,75
46028,110
208919,60
182070,16
157686,40
257609,40
236090,40
47907,171
274913,45
42703,120
114292,40
136610,32
206599,78
118901,45
171482,96
278476,60
148065,4
133938,50
214129,40
233280,37
343609,50
200207,44
244589,40
272069,40
243361,45
287317,32
230563,40
259479,50
136218,55
233796,32
128033,60
206927,40
418405,80
114160,45
343377,40
245487,125
33121,72
497486,40
334314,40
197553,50
114971,40
258339,55
277323,45
172009,40
207064,80
180284,130
145995,40
350651,40
355996,40
182402,40
148121,40
331433,32
203492,40
129528,40
131417,21
34127,50
106910,74
223881,70
96268,40
68729,170
174308,160
199266,30
150480,55
30759,155
167281,40
71076,40
104945,100
340723,40
108247,95
198097,50
157747,365
193075,20
215854,50
209955,113
191878,20
211678,125
168324,40
250068,40
249716,45
174343,40
267352,30
214134,84
153408,40
235205,40
60567,100
352712,55
258379,32
155093,38
170331,60
183522,40
367260,80
68015,90
56328,8
125761,36
115025,40
188245,75
111130,40
183284,50
157786,40
280169,108
43705,50
395026,12
184242,20
414545,40
150876,55
161662,157
96867,40
121037,15
264544,5
170099,80
237341,40
238913,110
200819,164
183597,50
309895,80
225507,80
181814,40
190823,40
101524,40
47396,90
124071,109
213226,250
185291,51
303176,40
220262,80
544091,25
205726,15
137300,75
269221,40
194293,38
25031,10
107584,125
127185,95
543042,50
393264,40
124993,95
304595,50
116279,43
230020,80
142326,50
182177,155
140711,40
68493,40
27432,40
221072,49
110978,117
142030,40
215441,40
217054,75
158956,40
231818,40
90969,45
199713,143
30475,40
246449,110
168817,40
96718,37
556688,12
161532,95
187161,50
332703,40
324960,80
198554,20
202733,70
102771,302
115023,234
180181,40
26598,80
506436,40
224202,50
222011,168
282155,25
439263,35
307392,40
142717,136
397962,40
169837,40
86625,40
322238,40
150062,95
84390,32
108997,40
117244,45
244087,102
110213,40
216889,80
142227,30
199067,114
195337,40
338376,90
267546,40
359678,48
127595,40
113688,90
144032,60
86111,30
113545,40
195322,40
81286,45
87158,40
404453,40
337456,40
160811,38
119741,40
112388,40
186788,40
164190,510
201928,40
206351,120
152855,40
26865,20
148261,40
203943,75
193871,40
179557,85
204629,90
201871,20
453067,36
130431,36
133359,50
117917,50
184101,25
190719,45
72812,40
295697,40
288433,80
288185,40
150175,20
235371,80
188772,30
398067,40
170428,48
28357,20
160187,129
199572,40
300528,80
116539,95
111959,60
116084,40
290409,40
135028,35
263498,80
103371,40
372130,40
334787,40
189216,65
357348,50
153167,40
171564,30
193199,12
154089,20
75104,50
104421,40
223548,110
213894,40
133373,266
29810,198
415913,70
200352,45
102110,30
216685,35
213008,120
113185,25
305739,40
165517,40
217349,40
30070,50
199816,40
384236,80
111957,52
313546,40
122066,175
138145,40
165737,43
130436,28
156040,40
92775,100
285432,80
165215,18
164219,45
395297,35
198346,35
21626,96
153870,80
201186,40
199452,40
185399,93
329530,125
202027,390
122540,40
159303,44
317360,160
155320,45
207568,253
459342,40
294183,40
