native_country,max
 Germany,27828
 Scotland,5178
 Thailand,0
 Outlying-US(Guam-USVI-etc),0
 France,8614
 Guatemala,7688
 Portugal,4508
 Greece,15024
 Puerto-Rico,7688
 Poland,20051
 Cambodia,13550
 Haiti,0
 Laos,2885
 England,20051
 Cuba,9386
 Italy,15024
 El-Salvador,20051
 Jamaica,20051
 Ireland,4650
 Nicaragua,3887
 Mexico,99999
 Ecuador,9386
 Peru,1831
 Dominican-Republic,99999
 South,99999
 Iran,27828
 Trinadad&Tobago,0
 ?,99999
 Holand-Netherlands,0
 Hungary,5178
 Yugoslavia,5556
 Canada,99999
 Honduras,0
 Philippines,99999
 United-States,99999
 Hong,0
 Vietnam,15024
 Taiwan,99999
 Columbia,3781
 China,14084
 India,99999
 Japan,99999
