native_country,sum
 Germany,121532
 Scotland,5178
 Thailand,0
 Outlying-US(Guam-USVI-etc),0
 France,15864
 Guatemala,14773
 Portugal,8450
 Greece,37233
 Puerto-Rico,36160
 Poland,41057
 Cambodia,19529
 Haiti,0
 Laos,2885
 England,77825
 Cuba,34887
 Italy,44640
 El-Salvador,60878
 Jamaica,38486
 Ireland,7787
 Nicaragua,6794
 Mexico,223139
 Ecuador,14773
 Peru,1831
 Dominican-Republic,103324
 South,149579
 Iran,87920
 Trinadad&Tobago,0
 ?,1053200
 Holand-Netherlands,0
 Hungary,9316
 Yugoslavia,5556
 Canada,182000
 Honduras,0
 Philippines,201632
 United-States,31772837
 Hong,0
 Vietnam,44260
 Taiwan,109499
 Columbia,10656
 China,27486
 India,360492
 Japan,157866
