native_country,count
 Germany,137
 Scotland,12
 Thailand,18
 Outlying-US(Guam-USVI-etc),14
 France,29
 Guatemala,64
 Portugal,37
 Greece,29
 Puerto-Rico,114
 Poland,60
 Cambodia,19
 Haiti,44
 Laos,18
 England,90
 Cuba,95
 Italy,73
 El-Salvador,106
 Jamaica,81
 Ireland,24
 Nicaragua,34
 Mexico,643
 Ecuador,28
 Peru,31
 Dominican-Republic,70
 South,80
 Iran,43
 Trinadad&Tobago,19
 ?,583
 Holand-Netherlands,1
 Hungary,13
 Yugoslavia,16
 Canada,121
 Honduras,13
 Philippines,198
 United-States,29170
 Hong,20
 Vietnam,67
 Taiwan,51
 Columbia,59
 China,75
 India,100
 Japan,62
