native_country,max
 Germany,1977
 Scotland,0
 Thailand,0
 Outlying-US(Guam-USVI-etc),0
 France,0
 Guatemala,1594
 Portugal,0
 Greece,2603
 Puerto-Rico,2179
 Poland,2051
 Cambodia,1876
 Haiti,1740
 Laos,0
 England,2002
 Cuba,1902
 Italy,1977
 El-Salvador,1719
 Jamaica,0
 Ireland,1887
 Nicaragua,1848
 Mexico,2603
 Ecuador,0
 Peru,1848
 Dominican-Republic,1762
 South,2258
 Iran,2002
 Trinadad&Tobago,2339
 ?,3004
 Holand-Netherlands,2205
 Hungary,1668
 Yugoslavia,0
 Canada,2339
 Honduras,1902
 Philippines,2415
 United-States,4356
 Hong,1977
 Vietnam,2457
 Taiwan,2415
 Columbia,1602
 China,2415
 India,2415
 Japan,1977
