native_country,sum
 Germany,10683
 Scotland,0
 Thailand,0
 Outlying-US(Guam-USVI-etc),0
 France,0
 Guatemala,1594
 Portugal,0
 Greece,8568
 Puerto-Rico,6296
 Poland,2051
 Cambodia,3478
 Haiti,3225
 Laos,0
 England,7448
 Cuba,6654
 Italy,1977
 El-Salvador,3298
 Jamaica,0
 Ireland,1887
 Nicaragua,3427
 Mexico,15911
 Ecuador,0
 Peru,1848
 Dominican-Republic,1762
 South,13554
 Iran,5453
 Trinadad&Tobago,4226
 ?,68949
 Holand-Netherlands,2205
 Hungary,1668
 Yugoslavia,0
 Canada,15722
 Honduras,1902
 Philippines,19593
 United-States,2581854
 Hong,1977
 Vietnam,5849
 Taiwan,7896
 Columbia,1602
 China,13464
 India,13112
 Japan,3567
