native_country,max
 Germany,70
 Scotland,60
 Thailand,80
 Outlying-US(Guam-USVI-etc),60
 France,99
 Guatemala,60
 Portugal,84
 Greece,75
 Puerto-Rico,80
 Poland,65
 Cambodia,50
 Haiti,75
 Laos,50
 England,99
 Cuba,70
 Italy,80
 El-Salvador,60
 Jamaica,70
 Ireland,60
 Nicaragua,60
 Mexico,99
 Ecuador,66
 Peru,60
 Dominican-Republic,98
 South,99
 Iran,70
 Trinadad&Tobago,60
 ?,99
 Holand-Netherlands,40
 Hungary,60
 Yugoslavia,66
 Canada,72
 Honduras,60
 Philippines,99
 United-States,99
 Hong,65
 Vietnam,77
 Taiwan,84
 Columbia,60
 China,60
 India,84
 Japan,99
