native_country,sum
 Germany,5619
 Scotland,495
 Thailand,818
 Outlying-US(Guam-USVI-etc),586
 France,1307
 Guatemala,2511
 Portugal,1550
 Greece,1283
 Puerto-Rico,4397
 Poland,2300
 Cambodia,777
 Haiti,1624
 Laos,726
 England,3765
 Cuba,3720
 Italy,3037
 El-Salvador,3900
 Jamaica,3126
 Ireland,1018
 Nicaragua,1230
 Mexico,25939
 Ecuador,1108
 Peru,1097
 Dominican-Republic,2973
 South,3393
 Iran,1891
 Trinadad&Tobago,710
 ?,24202
 Holand-Netherlands,40
 Hungary,463
 Yugoslavia,713
 Canada,4889
 Honduras,472
 Philippines,7840
 United-States,1179861
 Hong,818
 Vietnam,2502
 Taiwan,1983
 Columbia,2305
 China,2834
 India,4153
 Japan,2709
