occupation,avg
 Tech-support,98.6659482758620690
 Exec-managerial,138.8384161337924250
 Machine-op-inspct,61.7062937062937063
 Prof-specialty,136.1393719806763285
 Priv-house-serv,21.4496644295302013
 Sales,98.3005479452054795
 ?,60.5295713510580575
 Transport-moving,81.4809016906700063
 Armed-Forces,209.6666666666666667
 Adm-clerical,60.7944297082228117
 Other-service,38.2506828528072838
 Protective-serv,78.3343605546995378
 Craft-repair,88.4652354232739693
 Handlers-cleaners,45.6357664233576642
 Farming-fishing,63.0754527162977867
