occupation,avg
 Tech-support,39.4321120689655172
 Exec-managerial,44.9877029021151008
 Machine-op-inspct,40.7557442557442557
 Prof-specialty,42.3867149758454106
 Priv-house-serv,32.8859060402684564
 Sales,40.7810958904109589
 ?,31.9061313076505697
 Transport-moving,44.6562304320601127
 Armed-Forces,40.6666666666666667
 Adm-clerical,37.5583554376657825
 Other-service,34.7016691957511381
 Protective-serv,42.8705701078582435
 Craft-repair,42.3042205415955111
 Handlers-cleaners,37.9474452554744526
 Farming-fishing,46.9899396378269618
